title,year,desc,cast,director,genres,rating
Adam Sandler's Eight Crazy Nights,2002,"Adam Sandler invites you to share some holiday cheer in the new, no-holds-barred musical comedy Adam Sandler's 8 Crazy Nights. Davey Stone, a 33-year old party animal, finds himself in trouble with the law after his wild ways go too far. In keeping with the holiday spirit, the judge gives Davey one last chance at redemption-spend the holiday performing community service as the assistant referee for the youth basketball league or go to jail. Davey thinks he's gotten off easy until he meets Whitey Duvall, the eccentric, elf-like head referee. The mismatch between Whitey's good heart and never-ending optimism and Davey's constant troublemaking soon have them both wondering if going to jail wouldn't have been easier! In this new, full-length animated feature about basketball, old girlfriends, holiday spirits, and the mall, Adam Sandler voices the three lead characters of Whitey, Davey, and Whitey's fraternal twin sister Eleanore!","Adam Sandler, Jackie Sandler, Austin Stout, Kevin Nealon",Seth Kearsley,"['Animation', 'Comedy', 'Musical']",PG-13
The Hunger Games,2012,"In this exciting adaptation of the popular novel, 16-year-old Katniss Everdeen must compete in a cruel televised tournament in which 24 teenagers from a postapocalyptic society fight to the death for the entertainment of the masses.","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Gary Ross,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
Her,2013,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.","Joaquin Phoenix, Scarlett Johansson, Amy Adams, Rooney Mara",Spike Jonze,"['Drama', 'Romance', 'Sci-Fi']",R
West Side Story,1961,"In the slums of the upper West Side of Manhattan, New York, a gang of Polish-American teenagers called the Jets compete with a rival gang of recently immigrated Puerto Ricans, the Sharks, to ""own"" the neighborhood streets. Tensions are high between the gangs but two kids, one from each rival gang, fall in love leading to tragedy.","Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno",Robert Wise,"['Crime', 'Drama', 'Musical']",G
Pride & Prejudice,2005,"The story is based on Jane Austen's novel about five sisters - Jane (Rosamund Pike), Elizabeth (Keira Knightley), Mary (Talulah Riley), Kitty (Carey Mulligan), and Lydia Bennet (Jena Malone) - in Georgian England. Their lives are turned upside down when wealthy young Mr. Bingley (Simon Woods) and his best friend, Mr. Darcy (Matthew Macfadyen), arrive in their neighborhood.","Keira Knightley, Talulah Riley, Rosamund Pike, Jena Malone",Joe Wright,"['Drama', 'Romance']",PG
Straight Outta Compton,2015,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music. Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A. And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.","O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.",F. Gary Gray,"['Biography', 'Drama', 'History', 'Music']",R
Coach Carter,2005,"In 1999, Ken Carter accepts the job of basketball coach for his old high school in a poor area of Richmond, CA. As much dismayed by the poor attitudes of his players as well as their dismal play performance, Carter sets about to change both. He imposes a strict regime typified in written contracts that demand respectful behavior, a dress code and good grades for players. Any initial resistance is soon dispelled as the team under Carter's tutelage becomes a undefeated competitor. However, when the overconfident team's behavior begins to stray with too many doing poorly in class, Carter takes immediate action. To the outrage of the team, the school and the community, Carter cancels all team activities and locks the court until the team shows acceptable academic improvement. In the ensuing debate, Carter fights to keep his methods, determined to show the boys that they need good values for their futures and eventually finds he has affected them more profoundly than he ever expected.","Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez",Thomas Carter,"['Biography', 'Drama', 'Sport']",PG-13
8 Mile,2002,"Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.","Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy",Curtis Hanson,"['Drama', 'Music']",R
Fade to Black,2004,"An intimate look at hip-hop artist Shawn Carter, Jay-Z, revealing the multiple Grammy Award winning artist as never before, from his background and rise to fame to the recording of his last album. The film chronicles the legendary concert of Jay-Z's performance at Madison Square Garden in November 2003. In an unprecedented event, a hip-hop artist sold out an arena in only two hours. Nearly one year later, fans and artists alike still reflect on this monumental musical night. The event was a spectacular culmination of Jay-Z's recording career prior to his self-proclaimed retirement from solo performing. Yet this one night also defined a musical generation, showcasing the evolution and reach of the world's most popular music genre. Guest performers included Jay-Z's closest friends and music industry colleagues: Beyoncé, Mary J. Blige, Missy Elliott, R. Kelly, Foxy Brown, Pharrell, and Questlove and The Illadelphonics along with appearances by hip hop icons Damon Dash, Rick Rubin, Slick Rick, P. Diddy and many others. Viewers get the rare glimpse of Jay-Z's creative process as he searches for inspiration, poetry, and perfection in his songs. Narrated by Jay-Z, his account of the night takes on reflections of his entire musical career and his journey that led to this one astounding, fabled evening--rightfully called ""Fade To Black.""","Jay-Z, Fonzworth Bentley, Beyoncé, Memphis Bleek","Patrick Paulson, Michael John Warren",['Documentary'],R
White Chicks,2004,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. To avoid being fired they accept a mission escorting a pair of socialites to the Hamptons--but when the girls are disfigured in a car accident, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from black men into rich white women.","Shawn Wayans, Marlon Wayans, Jaime King, Frankie Faison",Keenen Ivory Wayans,"['Comedy', 'Crime']",PG-13
Elf,2003,"Santa's oversized helper Will Ferrell goes to New York to find his real dad, only to discover he's a mean old grouch. Hit comedy with Zooey Deschanel.","Bob Newhart, Edward Asner, Mary Steenburgen, Zooey Deschanel",Jon Favreau,"['Adventure', 'Comedy', 'Family']",PG
The Best Man,1999,"Harper's autobiographical novel is almost out, his girlfriend Robin desires commitment, and he's best man at the wedding of Lance, a pro athlete. He goes to New York early (Robin will come for the wedding) to hang out with Lance and other friends, including Jordan, his former almost-lover, now in media and privy to an advance copy of the book. The men discuss women, never facing their own double standard; Jordan wants to try again with Harper, at least for one night; and Harper fears that Lance will read his book and learn that the bride-to-be slept with him once to avenge Lance's many affairs. Can Harper mature before Lance kills him, Jordan seduces him, and he loses Robin?","Taye Diggs, Nia Long, Morris Chestnut, Harold Perrineau",Malcolm D. Lee,"['Comedy', 'Drama', 'Romance']",R
Up in the Air,2009,"Ryan Bingham is a corporate downsizing expert whose cherished life on the road is threatened just as he is on the cusp of reaching ten million frequent flyer miles, and just after he's met the frequent-traveller woman of his dreams.","George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",Jason Reitman,"['Comedy', 'Drama', 'Romance']",R
Bridget Jones's Diary,2001,"Bridget Jones (Renée Zellweger) is an average woman struggling against her age, her weight, her job, her lack of a man, and her many imperfections. As a New Year's Resolution, Bridget decides to take control of her life, starting by keeping a diary in which she will always tell the complete truth. The fireworks begin when her charming though disreputable boss takes an interest in the quirky Miss Jones. Thrown into the mix are Bridget's band of slightly eccentric friends and a rather disagreeable acquaintance into whom Bridget cannot seem to stop running or help finding quietly attractive.","Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner",Sharon Maguire,"['Comedy', 'Drama', 'Romance']",R
Forrest Gump,1994,"Six Oscars, including Best Picture and Actor (Tom Hanks), went to this extraordinary tale of a simple man who unwittingly becomes involved in some of the key moments of the 20th century. Meanwhile, as the remarkable parade of his life goes by, Forrest never forgets Jenny, the girl he loved as a boy, who makes her own journey through the turbulence of the 1960s and '70s that is far more troubled than the path Forrest happens upon.","Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson",Robert Zemeckis,"['Drama', 'Romance']",PG-13
Inception,2010,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard",Christopher Nolan,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
Ford V Ferrari,2019,"Matt Damon and Christian Bale star in FORD v FERRARI, based on the true story of visionary American car designer Carroll Shelby and fearless British-born driver Ken Miles, who together build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.","Christian Bale, Matt Damon, Caitriona Balfe, Josh Lucas",James Mangold,"['Action', 'Biography', 'Drama']",PG-13
The Fast and the Furious,2001,"The thrills come fast and furious again as fugitive ex-con Dom Toretto returns to Los Angeles seeking the truth behind a high-profile crime and teams with Agent Brian O'Conner to take down a common enemy. Speeding from the streets of L.A. into the Mexican desert in convoy heists and precision tunnel crawls, Dom and Brian explore exciting new frontiers in the fine art of racing while closing in on their elusive target.","Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster",Rob Cohen,"['Action', 'Crime', 'Thriller']",PG-13
Baby Driver,2017,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal",Edgar Wright,"['Action', 'Crime', 'Drama', 'Music']",R
Saving Private Ryan,1998,"Steven Spielberg won the Best Director Oscar for this stunning war drama following a squad of U.S. Army soldiers on a mission to rescue a GI trapped behind enemy lines in France on D-Day after all three of the soldier's brothers are killed in action. As the search commences, the close-knit squad sets out through areas still thick with Nazis.","Tom Hanks, Tom Sizemore, Edward Burns, Matt Damon",Steven Spielberg,"['Drama', 'War']",R
