title,year,desc,cast,director,genres,rating
Allegiant,2016,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.","Shailene Woodley, Theo James, Naomi Watts, Octavia Spencer",Robert Schwentke,"['Action', 'Adventure', 'Mystery']",PG-13
Ocean's Eleven,2001,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.","George Clooney, Brad Pitt, Matt Damon, Andy García",Steven Soderbergh,"['Crime', 'Thriller']",PG-13
Maze Runner: The Death Cure,2018,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.","Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee",Wes Ball,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
Ocean's Twelve,2004,"They pulled off one of the biggest heists ever and now they have another job to complete. Ocean's Eleven, which consisted off Danny Ocean (Clooney), Rusty Ryan (Pitt) and Linus Caldwell (Damon) and others, all thought they would be able to enjoy their money, but someone has other plans. Terry Benedict (Garcia) is still fuming after losing his money and wants it back. The team now have the job of getting all the money they spent back, or risk being thrown in jail. How are they going to get it all back? By pulling off another amazing plan.","Brad Pitt, Catherine Zeta-Jones, George Clooney, Ed Kross",Steven Soderbergh,"['Crime', 'Thriller']",PG-13
Divergent,2014,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.","Shailene Woodley, Theo James, Zoë Kravitz, Miles Teller",Neil Burger,"['Action', 'Adventure', 'Mystery']",PG-13
The Maze Runner,2014,"A group of amnesiac teens awaken in a deadly maze, and search desperately for an escape route while gathering clues that could reveal the reason for their imprisonment in this thrilling adaptation of the best-selling YA novel. Meanwhile, dreams of a shadowy organization hint at a sinister agenda.","Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Will Poulter",Wes Ball,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13
Ocean's Thirteen,2007,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.","George Clooney, Brad Pitt, Matt Damon, Michael Mantell",Steven Soderbergh,"['Crime', 'Thriller']",PG-13
Maze Runner: The Scorch Trials,2015,Frenetic sci-fi action sequel following a group of teenage survivors trying to stay free of a sinister and controlling organisation.,"Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster, Dexter Darden",Wes Ball,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
The Divergent Series: Insurgent,2015,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,"Kate Winslet, Jai Courtney, Mekhi Phifer, Shailene Woodley",Robert Schwentke,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13
1917,2019,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.","George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott",Sam Mendes,"['Action', 'Drama', 'War']",R
American Sniper,2014,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.","Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis",Clint Eastwood,"['Action', 'Biography', 'Drama']",R
Evil Dead,2013,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.","Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas",Fede Alvarez,['Horror'],R
Scream,2022,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.","Neve Campbell, Courteney Cox, David Arquette, Melissa Barrera","Matt Bettinelli-Olpin, Tyler Gillett","['Horror', 'Mystery', 'Thriller']",R
Get Out,2017,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener",Jordan Peele,"['Horror', 'Mystery', 'Thriller']",R
The Cabin in the Woods,2012,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.","Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz",Drew Goddard,"['Horror', 'Mystery', 'Thriller']",R
War of the Worlds,2005,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",Steven Spielberg,"['Action', 'Adventure', 'Sci-Fi']",PG-13
I Know What You Did Last Summer,1997,"Jennifer Love Hewitt, Sarah Michelle Gellar, Ryan Phillippe and Freddie Prinze Jr. star in this suspenser. They play friends who accidentally run over a man on a dark road, then dispose of the body. Months later, a menacing figure begins stalking them, claiming to know the ""truth"" about their eventful summer vacation. Anne Heche.","Jennifer Love Hewitt, Sarah Michelle Gellar, Ryan Phillippe, Freddie Prinze Jr.",Jim Gillespie,"['Horror', 'Mystery']",PG-13
Jumanji: Welcome To The Jungle,2017,"The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game.","Karen Gillan, Jack Black, Dwayne Johnson, Kevin Hart",Jake Kasdan,"['Action', 'Adventure', 'Comedy']",PG-13
John Wick: Chapter 2,2017,"Hit man John Wick is once again called out of retirement in this explosive action sequel, this time by a former colleague who wants him to repay a debt by killing an Italian crime lord. But when the assassination goes awry, Wick finds himself hunted by an international cabal of killers, and his only hope for survival might be a shadowy figure known as the Bowery King.","Keanu Reeves, Common, Laurence Fishburne, Ian McShane",Chad Stahelski,"['Action', 'Crime', 'Thriller']",R
John Wick,2014,Prepare to be blown away when retired hit man John Wick returns to the fray to punish the NYC gangsters who destroyed his life.,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki","David Leitch, Chad Stahelski","['Action', 'Crime', 'Thriller']",R
John Wick: Chapter 3 - Parabellum,2019,"The third entry of the franchise sees John Wick on the run with a bounty placed on him after he kills a member of an underground assassin's guild. With every hitman in the world hot on his trail, he enlists the help of a trusted ally to fight his way out of New York City.","Keanu Reeves, Halle Berry, Laurence Fishburne, Mark Dacascos",Chad Stahelski,"['Action', 'Crime', 'Thriller']",R
Avengers: Endgame,2019,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Anthony Russo,"['Action', 'Adventure', 'Drama']",PG-13
Captain America: The First Avenger,2011,"WWII soldier Steve Rogers volunteers for a military experiment that transforms him into a superhero, and he uses his newfound abilities to protect America from a villain known as the Red Skull.","Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell",Joe Johnston,"['Action', 'Adventure', 'Sci-Fi']",PG-13
Iron Man,2008,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",Jon Favreau,"['Action', 'Adventure', 'Sci-Fi']",PG-13
